code,lat,lon
08MO,37.3956,-94.2838
08MS,34.6615,-89.8696
08MT,47.0657,-108.8096
08N,40.2918,-76.3288
08NC,36.0676,-80.4656
08ND,47.3231,-102.0980
08NE,42.4305,-97.0787
08NR,35.2175,-82.4260
08NY,41.3681,-74.5056
08OH,41.2917,-80.5637
08OK,34.9315,-95.2583
08OL,35.4081,-98.6055
08OR,42.8380,-121.1151
08R,41.4895,-71.6206
08TN,35.2989,-86.4744
08TS,32.0293,-97.0106
08TT,30.3088,-99.0222
08TX,32.8579,-97.7443
08U,41.5157,-115.8600
08UT,38.3350,-109.1352
08VA,37.5540,-79.7498
08WA,46.9698,-122.7263
08WI,44.5820,-88.1424
08XA,30.4793,-96.5040
08XS,29.1081,-95.7775
09A,32.1193,-88.1275
09AK,61.5894,-149.8473
09AN,59.6720,-151.6584
09AZ,31.9248,-110.0400
09CL,39.1138,-121.0570
09CO,38.0553,-103.6508
09FA,27.2456,-81.4133
09FD,28.6711,-82.0873
09GA,31.1210,-83.6706
09GE,34.4590,-84.1813
09I,48.6058,-93.3708
09IA,41.7454,-92.4115
09ID,45.1039,-114.8550
09II,38.4473,-86.4450
09IN,41.1233,-85.4250
09J,31.0745,-81.4278
09K,41.6349,-99.3422
09KS,38.7070,-95.1383
09LL,42.4681,-88.7432
09M,33.9915,-90.0786
09MA,42.3043,-71.5059
09ME,43.3408,-70.8547
09MN,45.0766,-92.9860
09MO,37.3784,-93.3633
09MT,45.9093,-113.7632
09N,41.8326,-73.8760
09NC,35.3293,-79.0300
09NE,41.3333,-96.1936
09NR,35.6501,-79.6503
09OK,36.3545,-95.8639
09PA,40.8270,-77.9881
09R,30.7748,-94.4588
09S,48.8409,-117.2840
09T,33.2808,-97.4967
09TA,33.2808,-97.4967
09TE,32.2629,-97.8638
09TS,29.4824,-103.1650
09TX,30.7376,-102.0233
09UT,38.2758,-109.7294
09VA,36.9765,-80.4939
09WI,44.0036,-91.3076
09Y,44.8166,-93.0155
0A1,61.1331,-149.9420
0A3,35.9853,-85.8093
0A4,36.3637,-82.3090
0A7,35.3083,-82.4329
0A8,32.9369,-87.0905
0A9,36.3712,-82.1733
0AA1,60.0810,-142.4945
0AA4,62.5093,-153.8923
0AA5,62.3128,-150.3358
0AA7,60.4915,-151.2353
0AK,61.9617,-162.9419
0AK0,64.3921,-146.8618
0AK1,61.6170,-149.3209
0AK2,61.7256,-150.6786
0AK3,62.0359,-150.4940
0AK5,61.3554,-142.7318
0AK6,61.8011,-147.9452
0AK7,59.7760,-150.9633
0AK8,61.4269,-142.9782
0AK9,61.3326,-150.0590
0AL1,30.4439,-87.6569
0AL5,31.0322,-87.2528
0AL9,34.8505,-87.6335
0AR2,35.1885,-90.3036
